"","week","category_id","year","total_sales","avg_sales"
"419","01",95803,2017,9543,7277.5
"420","01",95803,2016,5012,7277.5
"421","01",95804,2017,371,330.5
"422","01",95804,2016,290,330.5
"423","01",95805,2017,1186,1065.5
"424","01",95805,2016,945,1065.5
"425","01",95806,2017,4419,4091
"426","01",95806,2016,3763,4091
"427","01",95807,2017,4143,3739
"428","01",95807,2016,3335,3739
"429","01",95808,2017,136,127
"430","01",95808,2016,118,127
"431","01",95809,2017,17169,15570.5
"432","01",95809,2016,13972,15570.5
"433","01",95811,2017,2819,2617
"434","01",95811,2016,2415,2617
"435","01",95815,2017,2073,1830.5
"436","01",95815,2016,1588,1830.5
"437","01",95816,2017,846,700
"438","01",95816,2016,554,700
"439","01",95818,2016,348,366.5
"440","01",95818,2017,385,366.5
"441","01",95820,2017,525,495.5
"442","01",95820,2016,466,495.5
"443","01",95821,2017,533,490.5
"444","01",95821,2016,448,490.5
"445","01",95823,2016,1864,2295
"446","01",95823,2017,2726,2295
"447","01",95828,2017,151,153.5
"448","01",95828,2016,156,153.5
"449","01",95830,2017,1133,630
"450","01",95830,2016,127,630
"451","01",95831,2017,3755,4058.5
"452","01",95831,2016,4362,4058.5
"453","01",95832,2017,65,59
"454","01",95832,2016,53,59
"455","01",95833,2017,118,110.5
"456","01",95833,2016,103,110.5
"457","01",95834,2017,1696,1324
"458","01",95834,2016,952,1324
"459","01",95835,2017,648,722.5
"460","01",95835,2016,797,722.5
"461","01",95851,2016,2,2.5
"462","01",95851,2017,3,2.5
"463","01",95852,2017,2508,2526.5
"464","01",95852,2016,2545,2526.5
"465","01",95853,2017,2548,2671
"466","01",95853,2016,2794,2671
"467","01",95854,2017,13371,13521.5
"468","01",95854,2016,13672,13521.5
"469","01",95855,2016,2505,2482
"470","01",95855,2017,2459,2482
"471","01",95856,2017,3867,3683.5
"472","01",95856,2016,3500,3683.5
"473","01",95857,2017,12711,13947.5
"474","01",95857,2016,15184,13947.5
"475","01",95858,2017,7680,7106.5
"476","01",95858,2016,6533,7106.5
"477","01",95859,2017,2905,2645
"478","01",95859,2016,2385,2645
"479","01",95860,2017,14824,15170
"480","01",95860,2016,15516,15170
"481","01",95862,2016,943,903.5
"482","01",95862,2017,864,903.5
"483","01",95863,2017,415,386.5
"484","01",95863,2016,358,386.5
"485","01",95864,2017,298,267.5
"486","01",95864,2016,237,267.5
"487","01",95865,2017,2725,2810.5
"488","01",95865,2016,2896,2810.5
"489","01",95866,2017,84,88.5
"490","01",95866,2016,93,88.5
"491","01",95867,2017,1446,1354
"492","01",95867,2016,1262,1354
"493","01",95868,2017,22,21
"494","01",95868,2016,20,21
"495","01",95869,2017,487,630.5
"496","01",95869,2016,774,630.5
"497","01",95870,2017,1914,2029.5
"498","01",95870,2016,2145,2029.5
"499","01",95872,2017,500,428.5
"500","01",95872,2016,357,428.5
"501","01",95873,2017,346,474
"502","01",95873,2016,602,474
"503","01",95874,2017,199,170
"504","01",95874,2016,141,170
"505","01",95875,2017,190,136
"506","01",95875,2016,82,136
"507","01",95876,2017,399,415
"508","01",95876,2016,431,415
"509","01",95877,2016,137,127
"510","01",95877,2017,117,127
"511","01",95887,2017,121,62
"512","01",95887,2016,3,62
"513","01",95895,2017,63,56
"514","01",95895,2016,49,56
"515","01",95901,2017,915,767.5
"516","01",95901,2016,620,767.5
"517","01",95902,2016,570,628
"518","01",95902,2017,686,628
"519","01",95903,2017,264,251
"520","01",95903,2016,238,251
"521","01",95904,2017,1747,1611
"522","01",95904,2016,1475,1611
"523","01",95907,2016,501,395
"524","01",95907,2017,289,395
"525","01",95908,2016,769,826.5
"526","01",95908,2017,884,826.5
"527","01",95909,2017,9,9
"528","01",95912,2017,1,1
"529","01",95914,2016,1,1
"530","01",95917,2017,9,7.5
"531","01",95917,2016,6,7.5
"532","01",95921,2016,17,20.5
"533","01",95921,2017,24,20.5
"534","01",95922,2017,52,52
"535","01",95923,2017,56,56
"536","01",95925,2017,18,18
"537","01",95926,2017,44,42
"538","01",95926,2016,40,42
"539","01",95927,2017,277,196.5
"540","01",95927,2016,116,196.5
"541","01",95928,2017,409,289
"542","01",95928,2016,169,289
"543","01",95929,2016,18,10
"544","01",95929,2017,2,10
"545","01",95930,2017,748,755.5
"546","01",95930,2016,763,755.5
"547","01",95935,2017,8,8
"548","01",95936,2017,103,75.5
"549","01",95936,2016,48,75.5
"550","01",95946,2016,16,16
"551","01",95952,2016,55,48.5
"552","01",95952,2017,42,48.5
"553","01",95954,2017,239,238.5
"554","01",95954,2016,238,238.5
"555","01",95963,2017,8196,7111
"556","01",95963,2016,6026,7111
"557","01",95964,2017,106,136
"558","01",95964,2016,166,136
"559","01",95965,2017,185,133
"560","01",95965,2016,81,133
"561","01",95966,2017,385,319
"562","01",95966,2016,253,319
"563","01",95967,2017,1505,1479.5
"564","01",95967,2016,1454,1479.5
"565","01",95968,2017,2416,2403
"566","01",95968,2016,2390,2403
"567","01",95969,2017,122,129
"568","01",95969,2016,136,129
"569","01",95973,2017,189,114.5
"570","01",95973,2016,40,114.5
"571","01",95974,2016,827,645
"572","01",95974,2017,463,645
"573","01",95984,2017,1139,860
"574","01",95984,2016,581,860
"575","01",95985,2017,4015,3973.5
"576","01",95985,2016,3932,3973.5
"577","01",95986,2017,430,323
"578","01",95986,2016,216,323
"579","01",95988,2017,2263,2090
"580","01",95988,2016,1917,2090
"581","01",95989,2016,129,172.5
"582","01",95989,2017,216,172.5
"583","01",95990,2017,16,16
"584","01",95991,2017,7544,8249
"585","01",95991,2016,8954,8249
"586","01",95992,2017,1606,1404.5
"587","01",95992,2016,1203,1404.5
"588","01",95993,2016,287,290
"589","01",95993,2017,293,290
"590","01",95994,2017,4,4
"591","01",95995,2017,138,88.5
"592","01",95995,2016,39,88.5
"593","01",95996,2017,260,180.5
"594","01",95996,2016,101,180.5
"595","01",95997,2017,1087,1037
"596","01",95997,2016,987,1037
"597","01",95998,2017,1868,1473.5
"598","01",95998,2016,1079,1473.5
"599","01",95999,2016,590,653.5
"600","01",95999,2017,717,653.5
"601","01",96000,2016,609,639
"602","01",96000,2017,669,639
"603","01",96001,2017,451,405.5
"604","01",96001,2016,360,405.5
"605","01",96002,2017,474,465
"606","01",96002,2016,456,465
"607","01",96003,2016,292,274.5
"608","01",96003,2017,257,274.5
"609","01",96004,2017,562,422.5
"610","01",96004,2016,283,422.5
"611","01",96005,2017,177,125.5
"612","01",96005,2016,74,125.5
"613","01",96006,2017,2263,1956
"614","01",96006,2016,1649,1956
"615","01",96007,2016,480,503.5
"616","01",96007,2017,527,503.5
"617","01",96008,2017,1290,1200
"618","01",96008,2016,1110,1200
"619","01",96009,2017,1179,901
"620","01",96009,2016,623,901
"621","01",96010,2017,2025,1922.5
"622","01",96010,2016,1820,1922.5
"623","01",96011,2016,200,242.5
"624","01",96011,2017,285,242.5
"625","01",96012,2017,240,248.5
"626","01",96012,2016,257,248.5
"627","01",96013,2017,7279,6540
"628","01",96013,2016,5801,6540
"629","01",96014,2017,3525,3807.5
"630","01",96014,2016,4090,3807.5
"631","01",96015,2017,2680,2684
"632","01",96015,2016,2688,2684
"633","01",96016,2017,325,281.5
"634","01",96016,2016,238,281.5
"635","01",96017,2017,6744,6527.5
"636","01",96017,2016,6311,6527.5
"637","01",96018,2017,1190,797
"638","01",96018,2016,404,797
"639","01",96019,2017,443,387.5
"640","01",96019,2016,332,387.5
"641","01",96020,2017,799,804.5
"642","01",96020,2016,810,804.5
"643","01",96021,2017,2819,2525.5
"644","01",96021,2016,2232,2525.5
"645","01",96022,2017,1090,1002.5
"646","01",96022,2016,915,1002.5
"647","01",96023,2017,871,758
"648","01",96023,2016,645,758
"649","01",96024,2017,220,276
"650","01",96024,2016,332,276
"651","01",96025,2017,1402,1297.5
"652","01",96025,2016,1193,1297.5
"653","01",96026,2017,3263,3060
"654","01",96026,2016,2857,3060
"655","01",96027,2017,4385,4060
"656","01",96027,2016,3735,4060
"657","01",96028,2017,186,166
"658","01",96028,2016,146,166
"659","01",96029,2017,3798,3322
"660","01",96029,2016,2846,3322
"661","01",96030,2016,974,917
"662","01",96030,2017,860,917
"663","01",96033,2016,2554,2172.5
"664","01",96033,2017,1791,2172.5
"665","01",96034,2016,4623,4795.5
"666","01",96034,2017,4968,4795.5
"667","01",96035,2017,6306,4240.5
"668","01",96035,2016,2175,4240.5
"669","01",96036,2017,2119,1920.5
"670","01",96036,2016,1722,1920.5
"671","02",95052,2017,1726,1265.5
"672","02",95052,2016,805,1265.5
"673","02",95056,2017,197,135
"674","02",95056,2016,73,135
"675","02",95061,2017,73,47.5
"676","02",95061,2016,22,47.5
"677","02",95062,2017,887,736.5
"678","02",95062,2016,586,736.5
"679","02",95063,2017,54,44.5
"680","02",95063,2016,35,44.5
"681","02",95064,2017,3262,1691
"682","02",95064,2016,120,1691
"683","02",95065,2016,901,938
"684","02",95065,2017,975,938
"685","02",95067,2017,205,180.5
"686","02",95067,2016,156,180.5
"687","02",95070,2017,264,271
"688","02",95070,2016,278,271
"689","02",95071,2017,6260,5871.5
"690","02",95071,2016,5483,5871.5
"691","02",95072,2017,23098,21357
"692","02",95072,2016,19616,21357
"693","02",95073,2017,10777,10798.5
"694","02",95073,2016,10820,10798.5
"695","02",95075,2017,77,65.5
"696","02",95075,2016,54,65.5
"697","02",95076,2017,541,429.5
"698","02",95076,2016,318,429.5
"699","02",95083,2016,16,22
"700","02",95083,2017,28,22
"701","02",95084,2016,24,15.5
"702","02",95084,2017,7,15.5
"703","02",95085,2017,16,18
"704","02",95085,2016,20,18
